firm,tech,hour_class,regime,gap_gwh
HC,CCGT,Flat,DA15_ID15,1.5359482
HC,CCGT,Flat,ISP15win,1.665333644859813
HC,CCGT,Flat,MTU15IDA_post,1.8343893548387098
HC,CCGT,Flat,MTU15IDA_pre,1.27483125
HC,CCGT,Midday,3sess,0.9188756944444445
HC,CCGT,Midday,DA15_ID15,1.6605016000000001
HC,CCGT,Midday,ISP15win,2.1888177570093457
HC,CCGT,Midday,MTU15IDA_post,1.8595577419354838
HC,CCGT,Midday,MTU15IDA_pre,1.239098125
HC,Hydro,Critical,3sess,18.627655882352943
HC,Hydro,Critical,DA15_ID15,29.997944800000003
HC,Hydro,Critical,ISP15win,35.25629166666667
HC,Hydro,Critical,MTU15IDA_post,20.75698012820513
HC,Hydro,Critical,MTU15IDA_pre,37.178231249999996
HC,Hydro,Flat,3sess,2.8141676470588237
HC,Hydro,Flat,DA15_ID15,3.9562247999999998
HC,Hydro,Flat,ISP15win,4.833977777777778
HC,Hydro,Flat,MTU15IDA_post,4.477640865384616
HC,Hydro,Flat,MTU15IDA_pre,8.75980625
HC,Hydro,Midday,3sess,1.5897288235294116
HC,Hydro,Midday,DA15_ID15,4.9668244
HC,Hydro,Midday,ISP15win,4.682779629629629
HC,Hydro,Midday,MTU15IDA_post,2.3744934294871793
HC,Hydro,Midday,MTU15IDA_pre,4.8754656249999995
HC,Hydro_pump,Critical,3sess,-1.677057831325301
HC,Hydro_pump,Critical,DA15_ID15,-1.461265
HC,Hydro_pump,Critical,ISP15win,-1.6577722772277228
HC,Hydro_pump,Critical,MTU15IDA_post,-3.265514772727273
HC,Hydro_pump,Critical,MTU15IDA_pre,-3.3069106249999995
HC,Hydro_pump,Flat,3sess,-0.6284075630252101
HC,Hydro_pump,Flat,DA15_ID15,-0.8725831967213115
HC,Hydro_pump,Flat,ISP15win,-1.2064945652173913
HC,Hydro_pump,Flat,MTU15IDA_post,-0.410894465648855
HC,Hydro_pump,Flat,MTU15IDA_pre,-0.4247526315789473
HC,Hydro_pump,Midday,3sess,-2.538236746987952
HC,Hydro_pump,Midday,DA15_ID15,-2.586659533898305
HC,Hydro_pump,Midday,ISP15win,-3.1783366336633665
HC,Hydro_pump,Midday,MTU15IDA_post,-3.6003402597402596
HC,Hydro_pump,Midday,MTU15IDA_pre,-4.028669375000001
IB,CCGT,Critical,3sess,2.3973597633136094
IB,CCGT,Critical,DA15_ID15,6.966318
IB,CCGT,Critical,ISP15win,1.5110361111111112
IB,CCGT,Critical,MTU15IDA_post,4.886614903846153
IB,CCGT,Critical,MTU15IDA_pre,2.317431081081081
IB,CCGT,Flat,3sess,1.0517738095238096
IB,CCGT,Flat,DA15_ID15,1.2683812
IB,CCGT,Flat,ISP15win,0.8990203703703704
IB,CCGT,Flat,MTU15IDA_post,1.3910951923076924
IB,CCGT,Flat,MTU15IDA_pre,0.7648638888888889
IB,CCGT,Midday,3sess,0.6723053571428571
IB,CCGT,Midday,DA15_ID15,2.4327883999999997
IB,CCGT,Midday,ISP15win,0.44364259259259264
IB,CCGT,Midday,MTU15IDA_post,1.5709741935483872
IB,CCGT,Midday,MTU15IDA_pre,0.7996060810810811
IB,Hydro,Critical,3sess,20.73437882352941
IB,Hydro,Critical,DA15_ID15,29.6692748
IB,Hydro,Critical,ISP15win,26.312355555555555
IB,Hydro,Critical,MTU15IDA_post,27.460479006410253
IB,Hydro,Critical,MTU15IDA_pre,47.165463125
IB,Hydro,Flat,3sess,3.486976470588235
IB,Hydro,Flat,DA15_ID15,4.344569000000001
IB,Hydro,Flat,ISP15win,3.229974074074074
IB,Hydro,Flat,MTU15IDA_post,6.900013621794872
IB,Hydro,Flat,MTU15IDA_pre,10.585601875
IB,Hydro,Midday,3sess,1.797290588235294
IB,Hydro,Midday,DA15_ID15,3.9008572
IB,Hydro,Midday,ISP15win,4.935118518518518
IB,Hydro,Midday,MTU15IDA_post,1.2811062903225805
IB,Hydro,Midday,MTU15IDA_pre,7.0481525000000005
IB,Hydro_pump,Critical,3sess,-1.677409411764706
IB,Hydro_pump,Critical,DA15_ID15,-1.6399088
IB,Hydro_pump,Critical,ISP15win,-0.3855018518518519
IB,Hydro_pump,Critical,MTU15IDA_post,-0.7372665064102565
IB,Hydro_pump,Critical,MTU15IDA_pre,-5.04068375
IB,Hydro_pump,Flat,3sess,-0.4477323529411764
IB,Hydro_pump,Flat,DA15_ID15,-1.7500764
IB,Hydro_pump,Flat,ISP15win,-0.8337694444444445
IB,Hydro_pump,Flat,MTU15IDA_post,0.915182741935484
IB,Hydro_pump,Flat,MTU15IDA_pre,0.7584325
IB,Hydro_pump,Midday,3sess,-2.623912941176471
IB,Hydro_pump,Midday,DA15_ID15,-3.0560912
IB,Hydro_pump,Midday,ISP15win,-1.4009231481481481
IB,Hydro_pump,Midday,MTU15IDA_post,-3.6734421474358974
IB,Hydro_pump,Midday,MTU15IDA_pre,-6.220724375
REP,CCGT,Critical,3sess,1.1867614754098361
REP,CCGT,Critical,DA15_ID15,3.8572268
REP,CCGT,Critical,ISP15win,0.7029783783783783
REP,CCGT,Critical,MTU15IDA_post,4.784590967741935
REP,CCGT,Critical,MTU15IDA_pre,1.3879162162162162
REP,CCGT,Flat,3sess,0.4485
REP,CCGT,Flat,DA15_ID15,0.7363687999999999
REP,CCGT,Flat,ISP15win,0.2124138888888889
REP,CCGT,Flat,MTU15IDA_post,1.1855451612903225
REP,CCGT,Flat,MTU15IDA_pre,0.503331081081081
REP,CCGT,Midday,3sess,0.3471967213114754
REP,CCGT,Midday,DA15_ID15,1.1207799999999999
REP,CCGT,Midday,ISP15win,0.3573324324324324
REP,CCGT,Midday,MTU15IDA_post,1.104083064516129
REP,CCGT,Midday,MTU15IDA_pre,0.27114999999999995
REP,Hydro,Critical,3sess,-0.5551323529411765
REP,Hydro,Critical,DA15_ID15,-0.5363952
REP,Hydro,Critical,ISP15win,-0.5962638888888889
REP,Hydro,Critical,MTU15IDA_post,-0.3710057692307692
REP,Hydro,Critical,MTU15IDA_pre,-0.40467250000000005
REP,Hydro,Flat,3sess,-0.25864882352941176
REP,Hydro,Flat,DA15_ID15,-0.1760016
