regime,1,2,3,4,5,6
pre-IDA,2974.7100402055,1582.8178952991411,776.4664864268368,356.84519875478844,260.21025154847666,292.98553086419787
3-sess,1600.8012841091495,1797.0406959152808,356.69027552674237,,,
ISP15-win,1354.1239709443098,1471.8058411214943,325.20950000000005,,,
DA60/ID15,1666.7106805929948,1135.9225425950196,196.87585865257617,,,
DA15/ID15,1820.3717362924294,1942.8674379232507,501.3130410022779,,,
