regime,mean,abs_mean,asymmetry_ratio
pre-IDA,249.44841916900066,301.83098696511945,0.8264506625949167
3-sess,158.11339731790687,197.99529318958687,0.7985714951643229
ISP15-win,132.03261609287438,180.32026621297047,0.7322117411746437
DA60/ID15,123.22573718474753,179.29633185622865,0.6872741673463675
DA15/ID15,167.81208824917417,215.09690184049057,0.7801697133397979
