regime,mean,median,std,count,abs_mean,sem,ci_lo,ci_hi,asymmetry_ratio
pre-IDA,249.44841916900066,155.2,377.6067259200667,224091,301.83098696511945,0.797677815709965,247.88497065020914,251.01186768779218,0.8264506625949167
3-sess,158.11339731790687,97.1,258.06283565847286,15212,197.99529318958687,2.0923402362470855,154.0124104548626,162.21438418095116,0.7985714951643229
ISP15-win,132.03261609287438,80.3,245.30331021950283,9992,180.32026621297047,2.4540149045566113,127.22274687994341,136.84248530580533,0.7322117411746437
DA60/ID15,123.22573718474753,51.4,273.1181152196636,18279,179.29633185622865,2.0201066128118805,119.26632822363625,127.18514614585881,0.6872741673463675
DA15/ID15,167.81208824917417,91.9,291.11232614688276,10595,215.09690184049057,2.828199974417449,162.26881629931597,173.35536019903236,0.7801697133397979
