regime,psr_label,sigma_within_mw,mean_mw,n_hours,sigma_pct,spread_eur_mwh,monthly_cost_per_mwh_var_eur_m
pre-ISP15 (2024 Jan-Nov),Biomass,10.165177225850925,385.98537313432837,3350,2.6335653973896314,62.5,0.4574329751632917
pre-ISP15 (2024 Jan-Nov),Coal,20.18754043073926,421.12056737588654,423,4.793767389831648,62.5,0.9084393193832667
pre-ISP15 (2024 Jan-Nov),Fossil gas (CCGT),184.9899913510107,4663.830249396621,7458,3.966482085726504,62.5,8.324549610795483
pre-ISP15 (2024 Jan-Nov),Hydro pumped storage,292.39346220231175,1442.5492450477905,7219,20.269218760197333,62.5,13.157705799104027
pre-ISP15 (2024 Jan-Nov),Hydro reservoir,147.06059832484792,2720.9763266391806,7519,5.404699661848588,62.5,6.617726924618156
pre-ISP15 (2024 Jan-Nov),Hydro run-of-river,16.93062868861474,1038.609429065744,4624,1.6301246854502638,62.5,0.7618782909876632
pre-ISP15 (2024 Jan-Nov),Nuclear,15.078367632666122,5682.238493723849,717,0.2653596403832837,62.5,0.6785265434699754
pre-ISP15 (2024 Jan-Nov),Oil,5.511147394446648,47.74074074074074,54,11.543908429019357,62.5,0.24800163275009915
pre-ISP15 (2024 Jan-Nov),Solar PV,565.6443944220787,8476.922596997465,5129,6.672756391835293,62.5,25.453997748993537
pre-ISP15 (2024 Jan-Nov),Waste,4.182242140669989,214.68421052631578,418,1.9480902346832505,62.5,0.1882008963301495
pre-ISP15 (2024 Jan-Nov),Wind onshore,157.99456214273957,6737.760832791151,7685,2.3449119976745973,62.5,7.10975529642328
ISP15-win (Dec24-Mar25),Biomass,7.589006573711187,412.3391203703704,864,1.8404769760615014,90.0,0.491767625976485
ISP15-win (Dec24-Mar25),Coal,26.61990520038531,530.3559322033898,236,5.019252842103907,90.0,1.724969856984968
ISP15-win (Dec24-Mar25),Fossil gas (CCGT),220.4589977563685,5520.448095823096,3256,3.993498243796062,90.0,14.285743054612679
ISP15-win (Dec24-Mar25),Hydro pumped storage,259.7898122995583,1204.340425531915,3196,21.571127796762138,90.0,16.83437983701138
ISP15-win (Dec24-Mar25),Hydro reservoir,168.04797881755206,3364.2491783686883,3347,4.995110941783388,90.0,10.889509027377374
ISP15-win (Dec24-Mar25),Hydro run-of-river,17.55714496888406,1237.9677272727272,2200,1.418223155749211,90.0,1.1377029939836871
ISP15-win (Dec24-Mar25),Nuclear,17.43136212209644,5652.011583011583,259,0.30840987966992844,90.0,1.1295522655118495
ISP15-win (Dec24-Mar25),Oil,2.824045318333193,18.0,3,15.689140657406627,90.0,0.1829981366279909
ISP15-win (Dec24-Mar25),Solar PV,602.328435265939,7672.963617463617,1924,7.850010312769413,90.0,39.03088260523285
ISP15-win (Dec24-Mar25),Waste,4.116448494984259,179.56875,160,2.292408058186215,90.0,0.26674586247498
ISP15-win (Dec24-Mar25),Wind onshore,156.72307450479357,7538.935084095603,3389,2.0788489721236885,90.0,10.155655227910623
MTU15-IDA postblk,Biomass,8.173950660060752,421.64682926829266,1025,1.938577523337592,112.5,0.6620900034649209
MTU15-IDA postblk,Coal,18.194595201091502,193.94871794871796,39,9.381137134354422,112.5,1.4737622112884117
MTU15-IDA postblk,Fossil gas (CCGT),199.72189291638756,6213.2248175182485,3425,3.2144642883880477,112.5,16.177473326227393
MTU15-IDA postblk,Hydro pumped storage,303.7280853813165,1600.1077339753235,3323,18.981727225749445,112.5,24.601974915886636
MTU15-IDA postblk,Hydro reservoir,143.55459421250362,2037.2342771982117,3355,7.046543238509262,112.5,11.627922131212793
MTU15-IDA postblk,Hydro run-of-river,16.67721905558852,888.1371055495104,1838,1.8777752839489743,112.5,1.3508547435026699
MTU15-IDA postblk,Nuclear,14.978376591571536,5511.281425891182,533,0.27177666016482743,112.5,1.2132485039172942
MTU15-IDA postblk,Oil,4.6282409324394855,41.77272727272727,22,11.079575681574394,112.5,0.3748875155275983
MTU15-IDA postblk,Solar PV,643.8951139671248,10692.642468239565,2755,6.021852090160979,112.5,52.155504231337105
MTU15-IDA postblk,Waste,3.9943722686228402,186.33163265306123,196,2.143689835026633,112.5,0.3235441537584501
MTU15-IDA postblk,Wind onshore,152.64482922927778,4884.189340813464,3565,3.125284844175486,112.5,12.3642311675715
MTU15-DA (DA15/ID15),Biomass,8.209763370111158,387.36304700162077,1234,2.1193976641960917,105.0,0.6206581107804034
MTU15-DA (DA15/ID15),Coal,25.199287634245895,115.6774193548387,31,21.78410252821034,105.0,1.9050661451489896
MTU15-DA (DA15/ID15),Fossil gas (CCGT),207.92872847128965,6040.920323073565,4581,3.4420041541865167,105.0,15.719411872429497
MTU15-DA (DA15/ID15),Hydro pumped storage,304.48627575501257,1602.0710637352877,4503,19.00579085706046,105.0,23.01916244707895
MTU15-DA (DA15/ID15),Hydro reservoir,131.49818468891277,2826.2013157894735,4560,4.652824409721144,105.0,9.941262762481806
MTU15-DA (DA15/ID15),Hydro run-of-river,17.109166324707587,1099.025826446281,2904,1.5567574403624684,105.0,1.2934529741478935
MTU15-DA (DA15/ID15),Nuclear,20.319306017246884,5445.8337408312955,409,0.37311653245853926,105.0,1.5361395349038647
MTU15-DA (DA15/ID15),Oil,3.2046854425532723,30.307692307692307,13,10.57383521654633,105.0,0.24227421945702737
MTU15-DA (DA15/ID15),Solar PV,661.0105712247902,8647.716666666667,2700,7.643758424379346,105.0,49.97239918459414
MTU15-DA (DA15/ID15),Waste,4.083435970038108,192.09128630705393,241,2.1257788671948505,105.0,0.308707759334881
MTU15-DA (DA15/ID15),Wind onshore,164.47567567413716,7666.3586568730325,4765,2.145421092798492,105.0,12.43436108096477
