tech,hour_class,mean_mw,sigma_w,n_hours,cv
B06,Critical,45.016666666666666,6.089926228242985,60,0.1352815896684854
B06,Flat,35.166666666666664,4.395144393697521,6,0.12498040929945559
B06,Midday,30.666666666666668,4.450636719415386,6,0.14512945824180606
Biomass,Critical,400.5617385577873,10.969605417055389,3037,0.027385554737582238
Biomass,Flat,403.72841444270017,8.87998841879105,637,0.021994955274695825
Biomass,Midday,381.88018018018016,10.163282263935015,1110,0.026613798755252854
CCGT,Critical,6311.0669781931465,319.1125778762782,8988,0.050563966280015596
CCGT,Flat,4985.4655172413795,93.42042033204127,2262,0.01873855510763493
CCGT,Midday,4032.3738483345146,107.44261968837343,2822,0.026645004587744336
Coal,Critical,441.3150684931507,26.785340260558986,365,0.060694370468736214
Coal,Flat,333.2105263157895,25.832139946795873,38,0.07752498167574184
Coal,Midday,420.24460431654677,24.46995805364578,139,0.058227893475138896
Hydro RES,Critical,1092.5797986466414,23.167206742142508,6059,0.02120413243118654
Hydro RES,Flat,1084.4321880650994,13.340719842720583,1106,0.012302032335026677
Hydro RES,Midday,999.3353018372703,13.741852940770931,1524,0.013750993200687137
Hydro pump,Critical,3341.939217877095,227.1165160035246,8950,0.06795949931961844
Hydro pump,Flat,2450.396408234779,88.10555688641544,2283,0.03595563419466693
Hydro pump,Midday,1713.9968542467668,87.07366406711091,2861,0.05080153084958625
Hydro reservoir,Critical,1562.383980365908,354.9898980913971,8964,0.22721040573410065
Hydro reservoir,Flat,1005.8199711953913,232.04993875583185,2083,0.2307072293265826
Hydro reservoir,Midday,1822.2668484612389,388.04773990522773,2567,0.2129478129028707
Marine,Critical,74.2235294117647,3.1606092059028,85,0.04258230821076843
Marine,Flat,71.15789473684211,2.359747668703366,19,0.03316213439745854
Marine,Midday,66.74074074074075,2.7694169725995668,27,0.04149514886802902
Other,Critical,18.0,3.810375819445444,36,0.2116875455247469
Other,Flat,18.0,3.7366894358508627,2,0.20759385754727014
Other,Midday,16.304347826086957,3.967553234542882,23,0.24334326505196344
Other RES,Critical,198.3801652892562,4.846946914377369,484,0.024432618590220865
Other RES,Flat,205.17757009345794,4.959676926711789,107,0.024172607777997696
Other RES,Midday,192.210843373494,4.499629067751153,166,0.023409860696608623
Other RES bio,Critical,10.047619047619047,6.086008573727081,21,0.6057164931197568
Solar PV,Critical,5263.934587656057,1097.9304900076902,5687,0.2085760131940736
Solar PV,Flat,368.0989473684211,31.28382895565798,475,0.08498755342635299
Solar PV,Midday,14440.76988206834,276.89752039672834,3307,0.019174706241982475
Solar Thermal,Critical,5630.65308370044,16.628102920823736,908,0.002953139302607473
Solar Thermal,Flat,5388.469565217391,16.744431034316907,230,0.0031074558057082344
Solar Thermal,Midday,5610.564516129032,24.104572129181022,310,0.004296282853514319
Wind onshore,Critical,7230.756105758458,206.12972176691338,8926,0.028507353691926487
Wind onshore,Flat,7056.192645215211,135.80918045913566,2393,0.019246807348893398
Wind onshore,Midday,5644.327538031667,166.15791085347252,3221,0.029438034864896653
