hour,sigma_p_eur_mwh,p_level_eur_mwh,n_days
0,4.864149097671666,65.00047566371683,226
1,2.833621815959744,58.14568584070796,226
2,2.246957725967705,53.90995575221239,226
3,1.2963031914797234,50.85061946902655,226
4,0.9067276064341576,49.7429424778761,226
5,2.3506355547738385,52.578263274336294,226
6,4.3229400480914775,60.14984513274337,226
7,5.350277460838073,72.8620907079646,226
8,8.209547131427064,72.70436946902656,226
9,11.362889712861307,54.448904867256644,226
10,6.582951087543072,37.215652654867256,226
11,2.8139912490591037,28.514601769911504,226
12,1.1427835737882739,25.48100663716814,226
13,0.9054851668410181,23.89054203539823,226
14,1.1796503303549015,24.026261061946904,226
15,2.522769588211807,26.84675884955752,226
16,5.681976136613129,33.86306415929204,226
17,8.056846066585175,47.24461283185841,226
18,11.138376394247416,65.24826327433628,226
19,9.14358463467572,87.13966814159294,226
20,5.8901093610764015,98.98850663716816,226
21,6.749318763021869,94.38373893805311,226
22,5.51016581414786,81.0827986725664,226
23,5.310625325508343,69.9229111111111,225
24,2.3494733452414462,89.7775,1
