hour,load_gw,solar_gw,wind_gw,netload_gw,sigma_netload_mw,delta_load_mw
0,22.823084363836216,0.13475350370981037,7.329435009618026,15.358895850508379,411.63490293954055,-834.2866611433305
1,21.966257213520198,0.1254830997526793,7.083458917284968,14.757315196482551,347.3967354699953,-469.54208754208753
2,21.551468982630276,0.11275985663082436,6.857102288392611,14.581606837606838,335.72946588079355,-190.43210930828351
3,21.539520747458088,0.12466735366859029,6.716310662269854,14.698542731519646,356.96610056366393,176.36332476435305
4,22.436355866996433,0.10907694421544378,6.676406155537235,15.650872767243746,587.1054616120401,1113.7338912133891
5,24.388411651552623,0.2032731519648255,6.665441604836494,17.51969689475131,720.7570389727883,1742.9867109634552
6,26.488733992855177,1.5456130805166253,6.55533498213795,18.387785930200604,914.8026521034997,1422.9391159299416
7,27.7498381423468,4.94193542181918,6.195766968947512,16.6121357515801,1077.8864650111534,627.4789915966387
8,28.262807364660624,9.055040670513877,5.772818906292938,13.434947787853805,1005.956595813696,253.18718381112984
9,28.33131272327562,11.995654850233581,5.47177906018137,10.863878812860676,753.0142850873196,-103.53898305084746
10,28.20725611431712,13.349344874965652,5.397530640285793,9.460380599065674,499.18749643848304,-66.35314091680814
11,28.214387469084915,13.803944765045344,5.49917257488321,8.91127012915636,468.30454708249897,94.20971867007673
12,28.263350920582575,13.832276999175601,5.652322890904094,8.778751030502885,502.21154639092856,-103.7901861252115
13,27.87758669964276,13.525673536685902,5.846533663094257,8.505379499862599,485.2070701450887,-331.1799163179916
14,27.510070074196207,12.90491178895301,6.062961527892278,8.54219675735092,468.52345620513734,-122.27791986359762
15,27.64724841989558,11.66233498213795,6.406188788128605,9.578724649629017,676.8453823619914,290.99236641221376
16,28.192866996427593,9.000543830722727,6.845197856553998,12.347125309150867,1109.339292516806,553.0408673894913
17,29.21387111843913,5.431466062104974,7.355120637537786,16.427284418796372,1302.798332231181,891.3366666666667
18,30.4522671063479,2.1848878812860675,7.730496564990382,20.536882660071445,1065.1540936987963,883.578947368421
19,31.270119911991202,0.5882706270627064,7.856571232123213,22.825278052805277,521.852012931116,175.9831365935919
20,30.398844609460944,0.2909716721672167,7.935154565456546,22.17271837183718,622.1714835719577,-1444.4895222129087
21,28.043640814081414,0.2065684818481848,7.870257425742574,19.96681490649065,780.516557913362,-1851.2694214876033
22,25.846148239823982,0.1800398789878988,7.7089887238723875,17.957119636963697,664.0605825534248,-1406.7572493786247
23,24.171511276127614,0.14793344334433445,7.535125137513752,16.488452695269523,509.8217494707459,-1062.367549668874
