hour,load_gw,mean_signed_change_mw,mean_up_change_mw,prob_up,n_days,window
0,23.255657303370786,-868.5280898876405,0.0,0.0,356,2025 (full year)
1,22.383387573964498,-490.3786982248521,1.5266272189349113,0.014792899408284023,338,2025 (full year)
2,21.935887573964497,-196.07100591715977,14.875739644970414,0.15976331360946747,338,2025 (full year)
3,21.95534411764706,201.3294117647059,247.35294117647058,0.6852941176470588,340,2025 (full year)
4,22.846517341040464,1186.8439306358382,1194.300578034682,0.953757225433526,346,2025 (full year)
5,24.941983193277313,1806.532212885154,1810.2408963585435,0.9635854341736695,357,2025 (full year)
6,27.0229661971831,1423.8084507042254,1423.876056338028,0.9971830985915493,355,2025 (full year)
7,28.244472622478384,614.1440922190202,660.3804034582132,0.8731988472622478,347,2025 (full year)
8,28.73868115942029,227.43188405797102,369.8434782608696,0.6405797101449275,345,2025 (full year)
9,28.770384393063583,-103.28323699421965,140.8092485549133,0.4161849710982659,346,2025 (full year)
10,28.574488304093567,-79.89473684210526,157.50877192982455,0.45321637426900585,342,2025 (full year)
11,28.647823880597013,118.08955223880596,219.41492537313434,0.6298507462686567,335,2025 (full year)
12,28.574168604651163,-55.05813953488372,116.73255813953489,0.438953488372093,344,2025 (full year)
13,28.336731778425655,-293.9475218658892,31.778425655976676,0.18075801749271136,343,2025 (full year)
14,28.052541666666666,-62.714285714285715,93.76190476190476,0.42857142857142855,336,2025 (full year)
15,28.272037572254337,343.9306358381503,369.1098265895954,0.8641618497109826,346,2025 (full year)
16,28.911853994490357,634.8539944903581,649.2561983471074,0.9366391184573003,363,2025 (full year)
17,29.925612359550563,908.8089887640449,912.2584269662922,0.9662921348314607,356,2025 (full year)
18,31.159260744985673,857.3065902578796,873.4899713467049,0.9226361031518625,349,2025 (full year)
19,31.939702623906705,170.25072886297377,377.0728862973761,0.7113702623906706,343,2025 (full year)
20,31.02340226628895,-1490.6515580736543,1.8470254957507082,0.0028328611898017,353,2025 (full year)
21,28.626774104683193,-1928.099173553719,6.909090909090909,0.0027548209366391185,363,2025 (full year)
22,26.412628895184135,-1457.473087818697,0.0,0.0,353,2025 (full year)
23,24.625311977715878,-1094.2618384401114,1.5933147632311977,0.002785515320334262,359,2025 (full year)
0,22.568613636363636,-899.5909090909091,0.0,0.0,88,Oct-Dec 2025
1,21.59284444444444,-524.0444444444445,1.0666666666666667,0.022222222222222223,90,Oct-Dec 2025
2,21.109824175824176,-233.67032967032966,11.296703296703297,0.12087912087912088,91,Oct-Dec 2025
3,21.10145348837209,119.62790697674419,176.0,0.6162790697674418,86,Oct-Dec 2025
4,21.72967415730337,941.6179775280899,945.2134831460675,0.9662921348314607,89,Oct-Dec 2025
5,24.054911111111114,2101.2,2101.2,1.0,90,Oct-Dec 2025
6,26.81138043478261,1787.2173913043478,1787.2173913043478,1.0,92,Oct-Dec 2025
7,28.29140449438202,638.4719101123595,662.4719101123595,0.8764044943820225,89,Oct-Dec 2025
8,28.88059090909091,289.22727272727275,417.40909090909093,0.5568181818181818,88,Oct-Dec 2025
9,28.91034831460674,-164.67415730337078,119.68539325842697,0.3146067415730337,89,Oct-Dec 2025
10,28.64710227272727,-210.22727272727272,47.45454545454545,0.3068181818181818,88,Oct-Dec 2025
11,28.506906976744187,32.325581395348834,111.81395348837209,0.5813953488372093,86,Oct-Dec 2025
12,28.582080459770115,86.85057471264368,188.50574712643677,0.5862068965517241,87,Oct-Dec 2025
13,28.417719101123595,-158.02247191011236,73.52808988764045,0.3707865168539326,89,Oct-Dec 2025
14,28.482406976744187,12.325581395348838,146.41860465116278,0.5232558139534884,86,Oct-Dec 2025
15,28.628738636363636,307.09090909090907,325.27272727272725,0.8522727272727273,88,Oct-Dec 2025
16,29.31454945054945,923.2527472527472,923.2527472527472,1.0,91,Oct-Dec 2025
17,30.58926966292135,974.3370786516854,974.3370786516854,1.0,89,Oct-Dec 2025
18,31.658866666666665,536.1777777777778,554.1333333333333,0.9444444444444444,90,Oct-Dec 2025
19,32.051741176470586,-143.95294117647057,203.76470588235293,0.6470588235294118,85,Oct-Dec 2025
20,30.8560989010989,-1622.1978021978023,0.0,0.0,91,Oct-Dec 2025
21,28.27889010989011,-1953.098901098901,0.0,0.0,91,Oct-Dec 2025
22,25.881842696629214,-1716.0449438202247,0.0,0.0,89,Oct-Dec 2025
23,23.969533333333334,-1167.8666666666666,0.0,0.0,90,Oct-Dec 2025
