label,n,n_clusters,beta_3,se,p,controls
1_baseline_B1,122495,184,3.8655365468499103,1.1471624888482206,0.0007526360375962327,
2_plus_wind_solar_levels,122495,184,3.926996219877791,1.142951361361955,0.0005907231317718864,"wind_z,solar_z"
3_plus_crit_x_VRE,122495,184,3.7898605692516716,1.107565005943163,0.0006220916353250061,"wind_z,solar_z,crit_x_vre"
4_plus_cal_month_FE,122495,184,3.775191794208747,1.10687093892358,0.0006479911591019683,"wind_z,solar_z,crit_x_vre,month_11,month_12"
