ym,critical,flat,diff_crit_flat,table
2023-10-01,98.64651270772238,83.44688172043011,15.199630987292267,IDA
2023-11-01,73.49552676767676,48.796888888888894,24.69863787878787,IDA
2023-12-01,81.28350586510264,58.71501792114696,22.56848794395568,IDA
2024-01-01,81.85216911045943,58.46573476702509,23.38643434343434,IDA
2024-02-01,45.84810449320794,33.101609195402304,12.746495297805637,IDA
2024-03-01,28.480735581622678,13.728655913978496,14.752079667644182,IDA
2024-04-01,18.38891717171717,12.699925925925927,5.688991245791245,IDA
2024-05-01,35.661971163245354,40.75856630824373,-5.096595144998375,IDA
2024-06-01,61.22897222222222,66.24638888888889,-5.017416666666669,IDA
2024-07-01,79.10834799608993,86.23854838709678,-7.130200391006852,IDA
2024-08-01,98.17582600195503,102.13645161290323,-3.960625610948199,IDA
2024-09-01,84.0456515151515,80.96688888888889,3.078762626262616,IDA
2024-10-01,81.29465298142718,60.114623655913974,21.180029325513203,IDA
2024-11-01,117.63680303030301,91.5183888888889,26.11841414141412,IDA
2024-12-01,125.05788856304984,96.0968817204301,28.96100684261974,IDA
2025-01-01,111.0205083088954,78.92381720430107,32.09669110459433,IDA
2025-02-01,128.4906601731602,101.14547619047619,27.345183982684006,IDA
2025-03-01,66.78264418377321,41.01591397849462,25.76673020527859,IDA
2025-04-01,35.084798850574714,22.435258620689655,12.649540229885059,IDA
2025-05-01,24.630535190615838,19.63383064516129,4.9967045454545485,IDA
2025-06-01,84.29454671717171,95.57615277777778,-11.281606060606066,IDA
2025-07-01,77.47608679525223,88.174625,-10.698538204747777,IDA
2025-08-01,79.83059384164223,89.45545698924731,-9.624863147605083,IDA
2025-09-01,74.9130340909091,72.74631944444444,2.166714646464655,IDA
2025-10-01,89.70530791788858,77.42486559139785,12.280442326490729,IDA
2025-11-01,76.3952398989899,54.64456944444445,21.75067045454545,IDA
2025-12-01,86.45288856304985,65.92469086021505,20.528197702834802,IDA
2026-01-01,80.28805718475074,57.828763440860214,22.459293743890527,IDA
2026-02-01,22.511378205128207,-0.34701923076923075,22.858397435897437,IDA
