ym,critical,flat,diff_crit_flat,table
2023-10-01,101.32325513196481,83.00344086021505,18.319814271749763,DA
2023-11-01,76.30851515151515,49.06133333333334,27.247181818181815,DA
2023-12-01,82.55307917888562,59.723333333333336,22.82974584555229,DA
2024-01-01,84.04495601173019,60.28236559139785,23.762590420332344,DA
2024-02-01,47.1,33.23149425287356,13.868505747126441,DA
2024-03-01,29.68967741935484,16.026236559139786,13.663440860215054,DA
2024-04-01,18.604848484848485,13.071777777777779,5.533070707070706,DA
2024-05-01,35.76020527859237,41.20559139784946,-5.445386119257087,DA
2024-06-01,62.36375757575758,67.94877777777778,-5.585020202020196,DA
2024-07-01,79.42879765395895,87.54182795698925,-8.1130303030303,DA
2024-08-01,100.15384164222874,104.6783870967742,-4.524545454545461,DA
2024-09-01,84.59299999999999,81.81366666666666,2.7793333333333266,DA
2024-10-01,82.51636363636364,58.60935483870968,23.90700879765396,DA
2024-11-01,118.9848787878788,94.50133333333335,24.48354545454545,DA
2024-12-01,125.52381231671555,98.62548387096774,26.898328445747808,DA
2025-01-01,111.65043988269795,79.02956989247312,32.62086999022483,DA
2025-02-01,129.81136363636364,100.49,29.321363636363643,DA
2025-03-01,69.59568914956012,44.953870967741935,24.64181818181818,DA
2025-04-01,37.532909090909094,27.44622222222222,10.086686868686872,DA
2025-05-01,24.462052785923753,20.22817204301075,4.233880742913001,DA
2025-06-01,85.56296969696969,98.09177777777778,-12.52880808080809,DA
2025-07-01,80.11351906158357,89.1474193548387,-9.03390029325513,DA
2025-08-01,81.51686217008798,91.15322580645162,-9.63636363636364,DA
2025-09-01,76.50278787878787,74.88,1.6227878787878751,DA
2025-10-01,92.64788123167156,79.06147849462366,13.586402737047905,DA
2025-11-01,79.07624242424242,52.34247222222223,26.733770202020196,DA
2025-12-01,88.7691495601173,66.09279569892473,22.676353861192567,DA
2026-01-01,82.36630498533724,59.43784946236559,22.928455522971646,DA
2026-02-01,23.229178321678322,0.37461538461538463,22.854562937062937,DA
