ym,critical,flat,diff_crit_flat,table
2023-10-01,39.1601557210562,41.53811074918567,-2.3779550281294703,q2
2023-11-01,52.75383586083854,47.991440798858775,4.762395061979767,q2
2023-12-01,46.4300202020202,53.68647959183673,-7.256459389816527,q2
2024-01-01,38.54417922948074,51.737430167597765,-13.193250938117025,q2
2024-02-01,54.993990855649905,43.45135135135135,11.542639504298556,q2
2024-03-01,40.613663911845734,29.009550561797752,11.604113350047982,q2
2024-04-01,29.839592760181,18.4390306122449,11.4005621479361,q2
2024-05-01,23.043073878627972,11.859227467811158,11.183846410816814,q2
2024-06-01,40.785259515570935,39.17974683544304,1.6055126801278945,q2
2024-07-01,46.56755132699048,62.714325842696624,-16.14677451570614,q2
2024-08-01,44.70947641713544,48.1808729139923,-3.471396496856862,q2
2024-09-01,39.16780264496439,38.69390681003584,0.47389583492854825,q2
2024-10-01,38.98304997424009,37.55925925925926,1.4237907149808322,q2
2024-11-01,44.69101123595506,46.85960539979232,-2.1685941638372626,q2
2024-12-01,29.328356411800122,48.473693534100974,-19.14533712230085,q2
2025-01-01,43.161645813282,42.6099173553719,0.5517284579101016,q2
2025-02-01,41.837310308738886,32.904341926729984,8.932968382008902,q2
2025-03-01,30.850932611311674,20.29367417677643,10.557258434535242,q2
2025-04-01,18.10166083916084,13.02986111111111,5.071799728049729,q2
2025-05-01,13.60639287098024,9.33795045045045,4.268442420529791,q2
2025-06-01,30.001616202945993,35.11255935422602,-5.110943151280029,q2
2025-07-01,25.54471979511901,24.547095808383233,0.9976239867357783,q2
2025-08-01,32.65712489522213,32.580724070450096,0.07640082477203691,q2
2025-09-01,35.070575035063115,28.40367567567568,6.666899359387436,q2
2025-10-01,23.908673469387754,28.575877192982457,-4.667203723594703,q2
2025-11-01,31.80175698560542,19.626779846659364,12.174977138946055,q2
2025-12-01,41.62201158504476,26.252613320999075,15.369398264045685,q2
2026-01-01,52.301609442060084,28.076732673267326,24.224876768792758,q2
