ym,critical,flat,diff_crit_flat,table
2023-10-01,326.5450371370695,317.6985754985755,8.84646163849402,q1
2023-11-01,306.7406504065041,134.375,172.36565040650407,q1
2023-12-01,322.9496774193548,182.04642857142858,140.90324884792625,q1
2024-01-01,329.99651685393263,227.37966101694914,102.61685583698349,q1
2024-02-01,292.43333333333334,20.0,272.43333333333334,q1
2024-03-01,302.20088105726876,170.0,132.20088105726876,q1
2024-04-01,445.5433333333333,,,q1
2024-05-01,234.7375,,,q1
2024-06-01,309.30841121495325,193.55555555555554,115.75285565939771,q1
2024-07-01,315.74295485636117,296.7071129707113,19.03584188564986,q1
2024-08-01,310.0956004756242,274.82108695652175,35.27451351910247,q1
2024-09-01,305.34413223140496,260.13039215686274,45.213740074542216,q1
2024-10-01,298.7204152249135,184.38947368421054,114.33094154070295,q1
2024-11-01,335.62578068264344,227.4304347826087,108.19534590003474,q1
2024-12-01,365.96923076923076,271.45348101265824,94.51574975657252,q1
2025-01-01,335.24917257683217,190.0949152542373,145.15425732259487,q1
2025-02-01,335.15386949924124,62.72857142857143,272.4252980706698,q1
2025-03-01,325.23428571428576,170.0,155.23428571428576,q1
2025-04-01,227.93150684931507,,,q1
2025-05-01,211.75714285714284,,,q1
2025-06-01,321.66382660687594,337.38446601941746,-15.720639412541516,q1
2025-07-01,314.3358627858628,330.1987146529563,-15.862851867093525,q1
2025-08-01,310.2873801916933,316.0158102766798,-5.728430084986542,q1
2025-09-01,313.5,341.7162601626016,-28.2162601626016,q1
2025-10-01,317.9072648449816,349.3798723897912,-31.47260754480959,q1
2025-11-01,330.76622418879055,307.065,23.701224188790547,q1
2025-12-01,333.6885456273764,211.84333333333333,121.84521229404308,q1
2026-01-01,321.9641025641026,183.725,138.23910256410258,q1
