regime,tech,sells_gwh_day,buys_gwh_day,gross_gwh_day,net_gwh_day,n_active_days
pre-IDA,Battery / storage,0.008114634146341464,0.003490243902439024,0.01160487804878049,0.00462439024390244,41
pre-IDA,Biomass / RE thermal,0.1444670731707317,0.23894573170731706,0.3834128048780488,-0.09447865853658537,164
pre-IDA,CCGT,1.0632243902439025,0.2250012195121951,1.2882256097560976,0.8382231707317074,164
pre-IDA,Demand side,7.642503048780483,6.808211585365851,14.450714634146333,0.8342914634146341,164
pre-IDA,Hydro,2.0077914634146343,1.320678048780488,3.3284695121951215,0.6871134146341463,164
pre-IDA,Hydro pump,0.8178249999999999,0.7420932926829268,1.5599182926829271,0.07573170731707322,164
pre-IDA,Nuclear,0.57742,1.7939239999999999,2.371344,-1.2165039999999994,50
pre-IDA,Other,1.5200439024390244,0.7143695121951219,2.2344134146341466,0.8056743902439025,164
pre-IDA,Solar PV,2.0454743902439025,1.6268054878048785,3.6722798780487804,0.41866890243902394,164
pre-IDA,Solar Thermal,0.14849627329192547,0.25050434782608694,0.39900062111801243,-0.10200807453416151,161
pre-IDA,Thermal non-RE,0.10100670731707317,0.1340353658536585,0.23504207317073172,-0.033028658536585355,164
pre-IDA,Wind,2.710873780487805,2.7989189024390257,5.509792682926831,-0.08804512195122048,164
3-sess (MTU60),Battery / storage,0.00524074074074074,0.003255555555555556,0.008496296296296297,0.0019851851851851858,27
3-sess (MTU60),Biomass / RE thermal,0.14568304093567253,0.4359818713450292,0.5816649122807016,-0.2902988304093567,171
3-sess (MTU60),CCGT,3.209354970760234,0.7211140350877193,3.930469005847953,2.488240935672515,171
3-sess (MTU60),Demand side,8.0340596491228,9.269157309941514,17.30321695906431,-1.2350976608187156,171
3-sess (MTU60),Hydro,2.5589847953216376,1.6661912280701758,4.225176023391813,0.8927935672514621,171
3-sess (MTU60),Hydro pump,1.1156529411764706,1.125780588235294,2.241433529411765,-0.010127647058823422,170
3-sess (MTU60),Nuclear,1.4057740740740745,2.434392592592592,3.8401666666666667,-1.0286185185185177,27
3-sess (MTU60),Other,0.7986543859649122,0.16816842105263155,0.9668228070175438,0.6304859649122807,171
3-sess (MTU60),Solar PV,1.5758923976608195,1.9033590643274862,3.4792514619883055,-0.3274666666666667,171
3-sess (MTU60),Solar Thermal,0.26141345029239765,0.41095847953216375,0.6723719298245614,-0.14954502923976612,171
3-sess (MTU60),Thermal non-RE,0.15027543859649123,0.18329649122807015,0.33357192982456146,-0.033021052631578944,171
3-sess (MTU60),Wind,3.008605263157897,3.4909508771929847,6.499556140350882,-0.48234561403508774,171
ISP15-win (MTU60),Battery / storage,0.00084,0.015220000000000003,0.01606,-0.01438,5
ISP15-win (MTU60),Biomass / RE thermal,0.11936203703703704,0.3316101851851851,0.45097222222222216,-0.21224814814814816,108
ISP15-win (MTU60),CCGT,3.4513962962962954,0.9212666666666663,4.372662962962963,2.530129629629629,108
ISP15-win (MTU60),Demand side,6.405087037037033,7.689324074074067,14.094411111111096,-1.2842370370370333,108
ISP15-win (MTU60),Hydro,2.80422037037037,1.706637962962963,4.510858333333333,1.0975824074074072,108
