regime,tech,n_hours,spot_mean_eur_mwh,capture_price_eur_mwh,cannibalization_ratio,total_mwh_million,tech_share_of_load_pct
1.pre-IDA,Solar,56536,80.94401567143059,80.97097251269032,1.0003330306883853,181.28900964999997,
1.pre-IDA,Wind,56536,80.94401567143059,76.6366341974006,0.9467856710801871,360.71877854999997,
2.3-sess,Solar,4081,79.2751629502573,58.6225294540994,0.739481664526924,26.012593,
2.3-sess,Wind,4081,79.2751629502573,74.02718062990576,0.9338004221619263,24.469597,
3.ISP15-win,Solar,2592,99.80698302469136,81.86357565549464,0.8202189183019621,10.151761,
3.ISP15-win,Wind,2592,99.80698302469136,87.31041504906554,0.8747926488015946,19.837245,
4.DA60/ID15,Solar,4703,50.89547310227515,30.862188180233627,0.6063837567285334,36.847175,
4.DA60/ID15,Wind,4703,50.89547310227515,48.463777461542534,0.9522217695894861,24.377773,
5.DA15/ID15,Solar,4680,55.635647970085465,35.6507297232924,0.6407893324521234,22.224688,
5.DA15/ID15,Wind,4680,55.635647970085465,47.82597163719817,0.8596281949104565,36.364602,
