outcome,year_out,cos_1,sin_1,cos_4,sin_4
da_price_eur_mwh,2018,-0.30726007181453807,0.6172285677478355,-0.04650141267065752,-0.053001956793329474
da_price_eur_mwh,2019,-0.29751259410611114,0.30839374541970843,-0.05414346598999251,-0.08439142889586955
da_price_eur_mwh,2020,-0.21491442605438368,0.15562286020755434,-0.05191676696633049,-0.06287684392827718
da_price_eur_mwh,2021,-0.19328821175615807,0.16519932638705942,-0.08885410577222448,-0.05755726588366622
da_price_eur_mwh,2022,-0.2039236324960757,0.022411709864488205,-0.03433138630191967,-0.07371521555371703
da_price_eur_mwh,2023,-0.3064284407771225,0.2254382027709622,-0.04961895095697788,-0.04326988753061421
da_price_eur_mwh,2024,-0.23448783163520098,0.282236257426159,-0.01624360524305469,-0.08725645093760828
demand_mw_mean,2018,-0.02548670960194599,0.3067003166946709,-0.027252940092273054,0.016489225386833728
demand_mw_mean,2019,-0.01865660346956577,0.27040824295780164,-0.027750656544116546,0.01941398610361847
demand_mw_mean,2020,0.0011769054289680336,0.2062598324448257,-0.02442395085929083,0.005277756740330611
demand_mw_mean,2021,-0.004838911172162397,0.22841594524418607,-0.02717088013962951,0.026303838067708418
demand_mw_mean,2022,-0.015496930430960787,0.0673895255564444,-0.016670495487378482,-0.01108702729472616
demand_mw_mean,2023,-0.032487391702305746,0.2328113191711363,-0.022456486300216547,0.009431661868296692
demand_mw_mean,2024,-0.003156708179677614,0.19468326760380766,-0.023498780094851013,0.01021805707596355
fase1_cost_eur,2018,0.07212405887384843,0.26937413265086874,-0.030671743627323327,0.04523252505522732
fase1_cost_eur,2019,0.04145041126265675,0.08751429896165813,-0.015436507158834933,0.05062993923993098
fase1_cost_eur,2020,0.07772460404394826,-0.020796896649272922,-0.026381354347715213,0.049117403742800714
fase1_cost_eur,2021,0.17649453763397038,0.04714733234121382,-0.030227328139128984,0.022097913643892186
fase1_cost_eur,2022,0.03175331160869588,-0.0460079023145303,0.007543277417495997,0.05355761127124112
fase1_cost_eur,2023,0.03909555828481137,0.17757800000156995,-0.023865225863291678,0.022385946863822725
fase1_cost_eur,2024,0.06635026136460553,0.12107367842713623,-0.02491802910969365,0.05622391377368202
imb_abs_mwh,2018,0.0005305948662226445,0.059979961204849525,0.051431550263310435,-0.016875267124700805
imb_abs_mwh,2019,6.539915813713604e-05,0.04727782957399723,0.028434932849986154,-0.03569900597912995
imb_abs_mwh,2020,0.014832112385327445,0.03903572571129088,0.016187960083924202,-0.012778902876192683
imb_abs_mwh,2021,-0.007644382860025667,0.031472965281961585,0.053077384741275234,-0.011767600155903502
imb_abs_mwh,2022,0.028315521800599153,0.02125306716412466,0.044359202808957963,0.003942500885830452
imb_abs_mwh,2023,0.0055215000867343544,0.029980588116131163,0.03592915158169841,-0.016244542466255008
imb_abs_mwh,2024,-0.0027249075359387365,0.032619843097870777,0.035003441115177045,-0.019836248838322884
