d,obs_log_cost,obs_cost_M,yhat_A_Fourier_only,yhat_B_full,yhat_B_seasonal_only_preIDA_means,resid_A,resid_B,resid_B_seasonal
2025-10-01,15.526513218637216,5.534507929999998,14.44302014889349,15.382539780170303,14.65710013025385,1.0834930697437262,0.14397343846691335,0.8694130883833662
2025-10-02,15.681057163359881,6.459465700000006,14.448787822168521,15.39218333786293,14.66575869259119,1.2322693411913601,0.2888738254969514,1.0152984707686912
2025-10-03,15.74577650353885,6.891342720000005,14.454742704842579,15.40188617996614,14.67447653933911,1.2910337986962723,0.34389032357271,1.0712999641997403
2025-10-04,16.275722803701964,11.707296099999985,14.460874589343097,15.411630220507535,14.683235584525217,1.8148482143588662,0.864092583194429,1.5924872191767463
2025-10-05,16.457711630836297,14.044081660000021,14.467172624357062,15.389882593612514,14.692017367883793,1.990539006479235,1.0678290372237829,1.765694262952504
2025-10-06,16.21899748917035,11.06168052999998,14.47362535140504,15.399653344608206,14.700803123524196,1.7453721377653082,0.8193441445621428,1.5181943656461527
2025-10-07,16.131647851639652,10.136444479999989,14.480220744046608,15.4094090665405,14.709573850101203,1.6514271075930438,0.7222387850991527,1.4220740015384497
2025-10-08,16.274278641670666,11.690401069999988,14.486946249537086,15.419130593963406,14.718310382168818,1.78733239213358,0.8551480477072602,1.5559682595018476
2025-10-09,16.431614651022226,13.682314589999978,14.493788832744814,15.428798669543939,14.726993462394065,1.9378258182774122,1.002815981478287,1.7046211886281615
2025-10-10,16.2634367262053,11.564339339999991,14.500735022128794,15.43839401680891,14.735603814303746,1.7627017040765054,0.8250427093963886,1.5278329119015535
2025-10-11,16.28091426744546,11.768232139999977,14.507770957567914,15.447897413095616,14.744122215235162,1.7731433098775469,0.8330168543498448,1.5367920522102985
2025-10-12,16.395822651200692,13.201257539999999,14.514882439825394,15.421685680028984,14.75252956916138,1.8809402113752984,0.974136971171708,1.6432930820393121
2025-10-13,15.984168905906609,8.746541349999989,14.522054981425514,15.430948085285694,14.7608069790628,1.4621139244810948,0.5532208206209148,1.2233619268438094
